Source,Target,Strength
0,8,100
0,9,100
0,10,100
0,12,100
0,13,100
0,15,100
1,8,100
1,9,100
1,10,100
1,11,100
2,8,100
2,9,100
2,10,100
2,11,100
3,8,100
3,9,100
3,10,100
3,11,100
4,8,100
4,9,100
4,10,100
4,11,100
5,8,100
5,9,100
5,10,100
5,11,100
6,8,100
6,9,100
6,10,100
6,12,100
6,14,100
7,8,100
7,9,100
7,10,100
7,11,100
